domaine,parcelle,Ligne,RatioAccuracy,Arbre,Nom_Image,Variete,Porte greffe,fruits_comptés,fruits_detecte,Non_Detectes,Fausses_détections,Accuracy,fruits_sombre,petit,Trop Grand,caché,Fruits en arrière plan,Fruits groupés,autre,,Precision,Recall,F1 Score,FruitDetecté2,Fausse_Détection2,Accuracy2,Précision2
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,17,18,3,4,"82,35294118",0,1,0,1,0,1,0,,"0,8181818182","0,6666666667","0,7346938776",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,13,11,5,3,"61,53846154",0,0,0,3,0,2,0,,"0,7857142857","0,5","0,6111111111",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,11,13,1,3,"90,90909091",0,0,0,1,0,0,0,,"0,8125","0,7142857143","0,7602339181",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,33,30,6,3,"81,81818182",2,0,0,4,0,0,0,,"0,9090909091","0,75","0,8219178082",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,19,19,1,1,"94,73684211",0,0,0,0,0,0,0,,"0,95","0,9","0,9243243243",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,30,27,4,1,"86,66666667",0,0,0,4,0,0,0,,"0,9642857143","0,8387096774","0,8971246006",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,30,13,18,1,40,2,0,0,10,0,0,6,,"0,9285714286","0,3870967742","0,5464098074",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,16,17,1,2,"93,75",0,0,0,1,0,0,0,,"0,8947368421","0,8333333333","0,8629441624",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,24,15,10,1,"58,33333333",0,0,0,7,0,0,3,,"0,9375","0,56","0,7011686144",,,,
STAHALMAD,21110,,,,,Orogrande,C.Carrizo,26,19,7,0,"73,07692308",1,0,0,2,0,1,3,,1,"0,7307692308","0,8444444444",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,6,6,0,0,100,0,0,0,0,0,0,0,,1,1,1,,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,4,3,1,0,75,0,0,0,1,0,0,0,,1,"0,75","0,8571428571",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,40,33,7,0,"82,5",2,0,0,2,0,2,1,,1,"0,825","0,904109589",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,36,23,13,0,"63,88888889",1,0,0,5,0,6,1,,1,"0,6388888889","0,7796610169",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,15,10,5,0,"66,66666667",0,0,0,4,0,0,1,,1,"0,6666666667","0,8",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,45,39,7,1,"84,44444444",0,0,0,6,0,1,0,,"0,975","0,8260869565","0,8943874472",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,29,27,2,0,"93,10344828",0,0,0,1,0,1,0,,1,"0,9310344828","0,9642857143",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,24,22,5,3,"79,16666667",0,0,0,2,0,2,1,,"0,88","0,7037037037","0,7820392891",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,7,7,1,1,"85,71428571",0,0,0,1,0,0,0,,"0,875","0,75","0,8076923077",,,,
STAHALMAD,23210,,,,,Berkane,C.Carrizo,39,32,7,0,"82,05128205",2,0,0,0,0,4,1,,1,"0,8205128205","0,9014084507",,,,
STAHALMAD,24110,,,,,Nules,C.35,44,37,8,1,"81,81818182",1,0,0,5,0,0,2,,"0,9736842105","0,8","0,8783382789",,,,
STAHALMAD,24110,,,,,Nules,C.35,36,28,9,1,75,0,0,0,5,0,0,4,,"0,9655172414","0,7297297297","0,8312259483",,,,
STAHALMAD,24110,,,,,Nules,C.35,26,17,11,2,"57,69230769",1,0,0,9,0,0,1,,"0,8947368421","0,5357142857","0,6701708279",,,,
STAHALMAD,24110,,,,,Nules,C.35,28,26,4,2,"85,71428571",0,0,0,3,0,1,0,,"0,9285714286","0,8","0,8595041322",,,,
